NAMES.BREEDINGBOX_NC	Hộp hạt giống
NAMES.BREEDINGBOX_NC_BUILT	Bản thiết kế hộp hạt giống
NAMES.CANARY2	Vật nuôi - Chim hoàng yến
NAMES.CATCOON2	Vật nuôi - Mèo gấu trúc
NAMES.COMMAND_STAFF	Gậy chỉ huy
NAMES.FARM_PLANT_FT_AVOCADO	Cây bơ
NAMES.FARM_PLANT_FT_CHERRY	Cây anh đào
NAMES.FARM_PLANT_FT_LICHEE	Cây vải
NAMES.FARM_PLANT_FT_MANGO	Cây xoài
NAMES.FARM_PLANT_FT_MANGOSTEEN	Cây măng cụt
NAMES.FARM_PLANT_FT_PINEAPPLE	Cây dứa
NAMES.FARM_PLANT_FT_STRAWBERRY	Cây dâu tây
NAMES.FENCE_NC	Hàng rào
NAMES.FENCE_NC_BUILT	Bản thiết kế hàng rào
NAMES.FT_ALTAR	Bàn thờ Sùng Tử
NAMES.FT_ARTCRAFT	Vật trang trí nhỏ
NAMES.FT_AUTUMNHAT	Mũ Thu Ảnh
NAMES.FT_AVOCADO	Bơ
NAMES.FT_AVOCADO_COOKED	Bơ nướng
NAMES.FT_AVOCADO_FAIRY	Tinh linh bơ
NAMES.FT_AVOCADO_OVERSIZED	Bơ khổng lồ
NAMES.FT_AVOCADO_OVERSIZED_ROTTEN	Bơ khổng lồ thối
NAMES.FT_AVOCADO_OVERSIZED_WAXED	Bơ khổng lồ phủ sáp
NAMES.FT_AVOCADO_SEEDS	Hạt bơ
NAMES.FT_BEACHUMBRELLA	Dù che nắng bãi biển
NAMES.FT_BEARGER	Bé Bearger
NAMES.FT_BEARGER_EGG	Trứng Bearger
NAMES.FT_BEARGER_FACTORY	Xưởng gỗ Bearger
NAMES.FT_BEARGER_FACTORY_BROKEN	Xưởng gỗ Bearger
NAMES.FT_BED	Giường
NAMES.FT_BOOKCASE	Tủ sách ma thuật
NAMES.FT_BOTTLELAMP	Đèn chai
NAMES.FT_BREAD	Bánh mì
NAMES.FT_BREAD_DRY	Bánh mì khô
NAMES.FT_BUCKET	Thùng gỗ rỗng
NAMES.FT_BUCKET_FULL	Thùng gỗ
NAMES.FT_BUILDSTAFF	Gậy phép xây nhà
NAMES.FT_BUNDLEWRAP	Lọ gói đồ ma thuật
NAMES.FT_CANDLEFLOWER	Hoa nến
NAMES.FT_CANDLEFLOWER_ITEM	Cánh hoa nến
NAMES.FT_CARAMBOLA	Khế
NAMES.FT_CARAMBOLA_COOKED	Khế nướng
