STRINGS.TRADINGSTORE.STOCK	库存	
STRINGS.TRADINGSTORE.BLUEPRINT	蓝图	
STRINGS.TRADINGSTORE.FT_SEASONING_DISHES_TIPS	调味杨枝甘露5个\n调味蜂蜜柚子茶5个\n调味菠萝炒饭5个\n调味水果罐头5个	
STRINGS.TRADINGSTORE.NO_MATERIAL	材料不足	
STRINGS.TRADINGSTORE.NO_FT_COIN	童话币不足	
STRINGS.NAMES.FT_TASK_STRUCTURE	任务建筑	
STRINGS.NAMES.FT_CARAMBOLA	杨桃	
STRINGS.NAMES.FT_ROSELIGHT	路灯	
STRINGS.NAMES.TURF_FT_TURF14	深灰地板	
STRINGS.NAMES.FT_PEBBLE_ITEM	鹅卵石	
STRINGS.NAMES.FT_BREAD	面包	
STRINGS.NAMES.FT_CARAMBOLA_SEEDS_COOKED	烤杨桃种子	
STRINGS.NAMES.THSJ_PEILING	沛玲	
STRINGS.NAMES.GRANARY_NC	粮仓	
STRINGS.NAMES.FT_AVOCADO_OVERSIZED	巨型牛油果	
STRINGS.NAMES.FT_PINEAPPLE_OVERSIZED	巨型菠萝	
STRINGS.NAMES.FT_MAGICHOUSE	魔法商店	
STRINGS.NAMES.FT_TELEGATE_BLUE	童话镇传送门	
STRINGS.NAMES.TURF_FT_TURF7	灰色大石砖	
STRINGS.NAMES.CANARY2	农场动物 金丝雀	
STRINGS.NAMES.THSJ_BLF	菠萝炒饭	
STRINGS.NAMES.FT_PISTACHIO	开心果植株	
STRINGS.NAMES.FT_PINEAPPLE_COOKED	烤菠萝	
STRINGS.NAMES.FT_STONESWORD	石中剑	
STRINGS.NAMES.FT_FUNGI	菌衣	
STRINGS.NAMES.FT_MEDICINE_HEALTH	回血药剂	
STRINGS.NAMES.FT_BUCKET	空木桶	
STRINGS.NAMES.FT_MANGOSTEEN_OVERSIZED_ROTTEN	巨型腐烂山竹	
STRINGS.NAMES.THSJ_ROCKTIPS	音符石	
STRINGS.NAMES.MONKEY2	农场动物 猴子	
STRINGS.NAMES.FT_STRAWBERRY_FAIRY	草莓精灵	
STRINGS.NAMES.FT_CHERRY_OVERSIZED_ROTTEN	巨型腐烂樱桃	
STRINGS.NAMES.FT_YELLOWPEACH_TREE_FULL	黄桃树	
STRINGS.NAMES.THSJ_FMYZC	蜂蜜柚子茶	
STRINGS.NAMES.FARM_PLANT_FT_LICHEE	荔枝植株	
STRINGS.NAMES.FT_HEXSTICK	女巫的魔杖	
